Transaction_ID,Date,Amount (INR),Transaction_Type,Account_Type,GST_Number,Compliance_Status,Fraud_Flag,Risk_Score,Business_Category,City,State,Country,Notes
TXN00001,12 April 2024,17904.78,UPI,Business,2489621582Z3,GST Compliant,No,33,Pharmaceuticals,Ahmedabad,Gujarat,India,No suspicious activity
TXN00002,14-12-2024,130398.22,Cash Deposit,Business,2484439709Z3,Non-GST Compliant,No,29,Manufacturing,Ahmedabad,Gujarat,India,No suspicious activity
TXN00003,27-09-2024,97393.27,IMPS,Business,2421072293Z5,GST Compliant,No,26,Retail,Ahmedabad,Gujarat,India,No suspicious activity
TXN00004,16-04-2024,158085.15,Cheque Payment,Business,2430029197Z7,GST Compliant,No,13,Textile,Ahmedabad,Gujarat,India,No suspicious activity
TXN00005,12-03-2024,183255.0,Cheque Payment,Business,2486688953Z5,Non-GST Compliant,Yes,87,Retail,Ahmedabad,Gujarat,India,High-risk transaction flagged
TXN00006,07-07-2024,77679.49,Cheque Payment,Corporate,2443387203Z8,GST Compliant,No,14,Retail,Ahmedabad,Gujarat,India,No suspicious activity
TXN00007,21-01-2024,119286.04,UPI,Business,2423969914Z8,Non-GST Compliant,No,16,Pharmaceuticals,Ahmedabad,Gujarat,India,No suspicious activity
TXN00008,12-04-2024,100144.32,Cheque Payment,Corporate,2485664451Z8,GST Compliant,No,25,Textile,Ahmedabad,Gujarat,India,No suspicious activity
TXN00009,01-05-2024,196322.32,Cheque Payment,Corporate,2492787175Z8,GST Compliant,No,13,Manufacturing,Ahmedabad,Gujarat,India,No suspicious activity
TXN00010,02-08-2024,166218.57,UPI,Business,2466355707Z2,GST Compliant,No,38,IT Services,Ahmedabad,Gujarat,India,No suspicious activity
TXN00011,26-11-2024,182348.42,Cash Deposit,Business,2429439180Z5,GST Compliant,No,38,Retail,Ahmedabad,Gujarat,India,No suspicious activity
TXN00012,28-03-2024,50875.47,UPI,Corporate,2469503179Z8,GST Compliant,No,31,Manufacturing,Ahmedabad,Gujarat,India,No suspicious activity
TXN00013,09-04-2024,154507.56,NEFT,Business,2418701211Z3,GST Compliant,No,29,Pharmaceuticals,Ahmedabad,Gujarat,India,No suspicious activity
TXN00014,25-12-2024,53101.99,UPI,Business,2446921629Z3,Non-GST Compliant,Yes,62,Retail,Ahmedabad,Gujarat,India,High-risk transaction flagged
TXN00015,31-05-2024,41756.42,NEFT,Business,2469348843Z1,GST Compliant,No,16,Manufacturing,Ahmedabad,Gujarat,India,No suspicious activity
TXN00016,10-05-2024,188853.79,UPI,Corporate,2465093509Z6,GST Compliant,No,26,Retail,Ahmedabad,Gujarat,India,No suspicious activity
TXN00017,29-05-2024,3870.69,NEFT,Corporate,2418648296Z1,Non-GST Compliant,No,37,Textile,Ahmedabad,Gujarat,India,No suspicious activity
TXN00018,04-11-2024,193078.09,Cheque Payment,Corporate,2494302268Z2,GST Compliant,No,17,Pharmaceuticals,Ahmedabad,Gujarat,India,No suspicious activity
TXN00019,14-09-2024,29860.89,IMPS,Corporate,2450541137Z1,GST Compliant,No,17,Retail,Ahmedabad,Gujarat,India,No suspicious activity
TXN00020,09-12-2024,163889.42,NEFT,Business,2493107781Z2,GST Compliant,No,22,Textile,Ahmedabad,Gujarat,India,No suspicious activity
TXN00021,20-10-2024,55191.75,Cheque Payment,Corporate,2447494832Z2,GST Compliant,No,25,Pharmaceuticals,Ahmedabad,Gujarat,India,No suspicious activity
TXN00022,10-07-2024,70146.96,NEFT,Business,2416981028Z7,GST Compliant,No,34,Manufacturing,Ahmedabad,Gujarat,India,No suspicious activity
TXN00023,03-10-2024,43359.37,Cheque Payment,Business,2469641588Z8,GST Compliant,No,30,Retail,Ahmedabad,Gujarat,India,No suspicious activity
TXN00024,09-06-2024,117106.95,Cash Deposit,Corporate,2470432489Z1,GST Compliant,No,22,Textile,Ahmedabad,Gujarat,India,No suspicious activity
TXN00025,09-11-2024,69625.63,Cash Deposit,Business,2445682073Z7,GST Compliant,No,9,Manufacturing,Ahmedabad,Gujarat,India,No suspicious activity
TXN00026,22-01-2024,131482.03,RTGS,Corporate,2486457017Z8,GST Compliant,No,8,Retail,Ahmedabad,Gujarat,India,No suspicious activity
TXN00027,09-09-2024,3139.31,Cash Deposit,Corporate,2454725406Z2,GST Compliant,No,31,Textile,Ahmedabad,Gujarat,India,No suspicious activity
TXN00028,23-08-2024,12884.33,Cheque Payment,Corporate,2468192621Z2,GST Compliant,No,22,Retail,Ahmedabad,Gujarat,India,No suspicious activity
TXN00029,10-12-2024,19941.23,Cash Deposit,Corporate,2426781951Z6,Non-GST Compliant,Yes,75,IT Services,Ahmedabad,Gujarat,India,High-risk transaction flagged
TXN00030,18-02-2024,83804.55,UPI,Business,2423051597Z5,GST Compliant,No,29,Textile,Ahmedabad,Gujarat,India,No suspicious activity
TXN00031,28-02-2024,162961.09,RTGS,Business,2456184917Z6,GST Compliant,No,16,Manufacturing,Ahmedabad,Gujarat,India,No suspicious activity
TXN00032,18-06-2024,177636.7,NEFT,Business,2436935623Z4,GST Compliant,No,36,IT Services,Ahmedabad,Gujarat,India,No suspicious activity
TXN00033,06-07-2024,48969.7,Cash Deposit,Corporate,2469758381Z2,GST Compliant,No,17,Retail,Ahmedabad,Gujarat,India,No suspicious activity
TXN00034,27-09-2024,114878.2,Cheque Payment,Business,2437182836Z1,GST Compliant,No,37,Pharmaceuticals,Ahmedabad,Gujarat,India,No suspicious activity
TXN00035,08-07-2024,153675.31,IMPS,Corporate,2486472218Z1,GST Compliant,No,39,Textile,Ahmedabad,Gujarat,India,No suspicious activity
TXN00036,23-06-2024,57773.0,UPI,Corporate,2449132581Z7,Non-GST Compliant,Yes,96,Textile,Ahmedabad,Gujarat,India,High-risk transaction flagged
TXN00037,20-02-2024,81807.46,UPI,Business,2499789357Z6,GST Compliant,No,12,IT Services,Ahmedabad,Gujarat,India,No suspicious activity
TXN00038,29-12-2024,104799.6,UPI,Business,2497693183Z7,GST Compliant,No,17,Pharmaceuticals,Ahmedabad,Gujarat,India,No suspicious activity
TXN00039,24-02-2024,26983.62,Cheque Payment,Corporate,2447356987Z5,GST Compliant,No,29,Manufacturing,Ahmedabad,Gujarat,India,No suspicious activity
TXN00040,31-08-2024,5206.2,IMPS,Corporate,2472949256Z4,GST Compliant,No,33,IT Services,Ahmedabad,Gujarat,India,No suspicious activity
TXN00041,15-11-2024,30569.63,RTGS,Business,2421628066Z4,Non-GST Compliant,Yes,84,Textile,Ahmedabad,Gujarat,India,High-risk transaction flagged
TXN00042,10-05-2024,125374.46,Cash Deposit,Business,2455656398Z4,GST Compliant,No,32,IT Services,Ahmedabad,Gujarat,India,No suspicious activity
TXN00043,02-11-2024,14732.92,Cash Deposit,Business,2489247664Z2,GST Compliant,No,15,Pharmaceuticals,Ahmedabad,Gujarat,India,No suspicious activity
TXN00044,14-05-2024,37947.38,NEFT,Corporate,2460312364Z5,GST Compliant,No,19,Textile,Ahmedabad,Gujarat,India,No suspicious activity
TXN00045,21-01-2024,67577.4,Cash Deposit,Corporate,2471126126Z2,GST Compliant,No,8,Textile,Ahmedabad,Gujarat,India,No suspicious activity
TXN00046,24-11-2024,15583.23,NEFT,Business,2477607971Z6,GST Compliant,No,34,Retail,Ahmedabad,Gujarat,India,No suspicious activity
TXN00047,15-06-2024,38347.94,UPI,Corporate,2442573950Z5,Non-GST Compliant,Yes,85,Textile,Ahmedabad,Gujarat,India,High-risk transaction flagged
TXN00048,30-09-2024,182254.85,UPI,Corporate,2487268663Z5,GST Compliant,No,10,Textile,Ahmedabad,Gujarat,India,No suspicious activity
TXN00049,29-03-2024,3869.63,UPI,Corporate,2462392442Z2,GST Compliant,No,25,IT Services,Ahmedabad,Gujarat,India,No suspicious activity
